index,Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year,Rank_bar
567,3000m women,Silver,2.0,Netherlands,NED,Ireen WÜST,Europe,Pyeongchang,2018,2
568,3000m women,Bronze,3.0,Netherlands,NED,Antoinette DE JONG,Europe,Pyeongchang,2018,1
569,5000m men,Gold,1.0,Netherlands,NED,Sven KRAMER,Europe,Pyeongchang,2018,3
570,5000m men,Silver,2.0,Canada,CAN,Ted-Jan BLOEMEN,North America,Pyeongchang,2018,2
571,5000m men,Bronze,3.0,Norway,NOR,Sverre Lunde PEDERSEN,Europe,Pyeongchang,2018,1
572,5000m women,Gold,1.0,Netherlands,NED,Esmee VISSER,Europe,Pyeongchang,2018,3
573,5000m women,Silver,2.0,Czech Republic,CZE,Martina SABLIKOVA,Europe,Pyeongchang,2018,2
574,5000m women,Bronze,3.0,Olympic Athletes from Russia,OAR,Natalia VORONINA,Europe,Pyeongchang,2018,1
575,500m men,Gold,1.0,Norway,NOR,Havard LORENTZEN,Europe,Pyeongchang,2018,3
576,500m men,Silver,2.0,Republic of Korea,KOR,Min Kyu CHA,Asia,Pyeongchang,2018,2
577,500m men,Bronze,3.0,People's Republic of China,CHN,Tingyu GAO,Asia,Pyeongchang,2018,1
578,500m women,Gold,1.0,Japan,JPN,Nao KODAIRA,Asia,Pyeongchang,2018,3
579,500m women,Silver,2.0,Republic of Korea,KOR,Sang-Hwa LEE,Asia,Pyeongchang,2018,2
580,500m women,Bronze,3.0,Czech Republic,CZE,Karolina ERBANOVA,Europe,Pyeongchang,2018,1
581,Mass start men,Gold,1.0,Republic of Korea,KOR,Seung Hoon LEE,Asia,Pyeongchang,2018,3
582,Mass start men,Silver,2.0,Belgium,BEL,Bart SWINGS,Europe,Pyeongchang,2018,2
583,Mass start men,Bronze,3.0,Netherlands,NED,Koen VERWEIJ,Europe,Pyeongchang,2018,1
584,Mass start women,Gold,1.0,Japan,JPN,Nana TAKAGI,Asia,Pyeongchang,2018,3
585,Mass start women,Silver,2.0,Republic of Korea,KOR,Bo Reum KIM,Asia,Pyeongchang,2018,2
586,Mass start women,Bronze,3.0,Netherlands,NED,Irene SCHOUTEN,Europe,Pyeongchang,2018,1
587,Team pursuit men,Gold,1.0,Norway,NOR,Team Norway,Europe,Pyeongchang,2018,3
588,Team pursuit men,Silver,2.0,Republic of Korea,KOR,Team Republic of Korea,Asia,Pyeongchang,2018,2
589,Team pursuit men,Bronze,3.0,Netherlands,NED,Team Netherlands,Europe,Pyeongchang,2018,1
590,Team pursuit women,Gold,1.0,Japan,JPN,Team Japan,Asia,Pyeongchang,2018,3
591,Team pursuit women,Silver,2.0,Netherlands,NED,Team Netherlands,Europe,Pyeongchang,2018,2
592,Team pursuit women,Bronze,3.0,United States of America,USA,Team United States of America,North America,Pyeongchang,2018,1
