Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year
10000m men,Gold,1,Republic of Korea,KOR,Seung Hoon LEE,Asia,Vancouver,2010
10000m men,Silver,2,Russian Federation,RUS,Ivan SKOBREV,Europe,Vancouver,2010
10000m men,Bronze,3,Netherlands,NED,Bob Johannes Carolus DE JONG,Europe,Vancouver,2010
1000m men,Gold,1,Republic of Korea,KOR,Tae-Bum MO,Asia,Vancouver,2010
1000m men,Silver,2,Japan,JPN,Keiichiro NAGASHIMA,Asia,Vancouver,2010
1000m men,Bronze,3,Japan,JPN,Joji KATO,Asia,Vancouver,2010
5000m men,Gold,1,Netherlands,NED,Sven KRAMER,Europe,Vancouver,2010
5000m men,Silver,2,Republic of Korea,KOR,Seung Hoon LEE,Asia,Vancouver,2010
5000m men,Bronze,3,Russian Federation,RUS,Ivan SKOBREV,Europe,Vancouver,2010
1500m women,Gold,1,Canada,CAN,Cindy KLASSEN,North America,Turin,2006
1500m women,Silver,2,Canada,CAN,Kristina GROVES,North America,Turin,2006
1500m women,Bronze,3,Netherlands,NED,Ireen WÜST,Europe,Turin,2006
1000m women,Gold,1,Russian Federation,RUS,Svetlana ZHUROVA,Europe,Turin,2006
1000m women,Silver,2,People's Republic of China,CHN,Manli WANG,Asia,Turin,2006
1000m women,Bronze,3,People's Republic of China,CHN,Hui REN,Asia,Turin,2006
10000m men,Gold,1,Netherlands,NED,Bob Johannes Carolus DE JONG,Europe,Turin,2006
10000m men,Silver,2,United States of America,USA,Chad HEDRICK,North America,Turin,2006
10000m men,Bronze,3,Netherlands,NED,Carl VERHEIJEN,Europe,Turin,2006
1000m men,Gold,1,United States of America,USA,Shani DAVIS,North America,Turin,2006
1000m men,Silver,2,United States of America,USA,Joey CHEEK,North America,Turin,2006
1000m men,Bronze,3,Netherlands,NED,Erben WENNEMARS,Europe,Turin,2006
5000m men,Gold,1,United States of America,USA,Chad HEDRICK,North America,Turin,2006
5000m men,Silver,2,Netherlands,NED,Sven KRAMER,Europe,Turin,2006
5000m men,Bronze,3,Italy,ITA,Enrico FABRIS,Europe,Turin,2006
3000m women,Gold,1,Netherlands,NED,Ireen WÜST,Europe,Turin,2006
3000m women,Silver,2,Netherlands,NED,Renate GROENEWOLD,Europe,Turin,2006
3000m women,Bronze,3,Canada,CAN,Cindy KLASSEN,North America,Turin,2006
1500m men,Gold,1,Italy,ITA,Enrico FABRIS,Europe,Turin,2006
1500m men,Silver,2,United States of America,USA,Shani DAVIS,North America,Turin,2006
1500m men,Bronze,3,United States of America,USA,Chad HEDRICK,North America,Turin,2006
1000m men,Gold,1,United States of America,USA,Joey CHEEK,North America,Turin,2006
1000m men,Silver,2,Russian Federation,RUS,Dmitry DOROFEYEV,Europe,Turin,2006
1000m men,Bronze,3,Republic of Korea,KOR,Kang Seok LEE,Asia,Turin,2006
Team pursuit men,Gold,1,Italy,ITA,Team Italy,Europe,Turin,2006
Team pursuit men,Silver,2,Canada,CAN,Team Canada,North America,Turin,2006
Team pursuit men,Bronze,3,Netherlands,NED,Team Netherlands,Europe,Turin,2006
5000m women,Gold,1,Canada,CAN,Clara HUGHES,North America,Turin,2006
5000m women,Silver,2,Germany,GER,Claudia PECHSTEIN,Europe,Turin,2006
5000m women,Bronze,3,Canada,CAN,Cindy KLASSEN,North America,Turin,2006
Team pursuit women,Gold,1,Germany,GER,Team Germany,Europe,Turin,2006
Team pursuit women,Silver,2,Canada,CAN,Team Canada,North America,Turin,2006
Team pursuit women,Bronze,3,Russian Federation,RUS,Team Russian Federation,Europe,Turin,2006
1000m women,Gold,1,Netherlands,NED,Marianne TIMMER,Europe,Turin,2006
1000m women,Silver,2,Canada,CAN,Cindy KLASSEN,North America,Turin,2006
1000m women,Bronze,3,Germany,GER,Anni FRIESINGER,Europe,Turin,2006
5000m men,Gold,1,Netherlands,NED,Jochem UYTDEHAAGE,Europe,Salt-Lake-City,2002
5000m men,Silver,2,United States of America,USA,Derek PARRA,North America,Salt-Lake-City,2002
5000m men,Bronze,3,Germany,GER,Jens BODEN,Europe,Salt-Lake-City,2002
5000m women,Gold,1,Germany,GER,Claudia PECHSTEIN,Europe,Salt-Lake-City,2002
5000m women,Silver,2,Netherlands,NED,Gretha SMIT,Europe,Salt-Lake-City,2002
5000m women,Bronze,3,Canada,CAN,Clara HUGHES,North America,Salt-Lake-City,2002
10000m men,Gold,1,Netherlands,NED,Jochem UYTDEHAAGE,Europe,Salt-Lake-City,2002
10000m men,Silver,2,Netherlands,NED,Gianni ROMME,Europe,Salt-Lake-City,2002
10000m men,Bronze,3,Norway,NOR,Lasse SAETRE,Europe,Salt-Lake-City,2002
1500m women,Gold,1,Germany,GER,Anni FRIESINGER,Europe,Salt-Lake-City,2002
1500m women,Silver,2,Germany,GER,Sabine VOELKER,Europe,Salt-Lake-City,2002
1500m women,Bronze,3,United States of America,USA,Jennifer RODRIGUEZ,North America,Salt-Lake-City,2002
500m women,Gold,1,Canada,CAN,Catriona LE MAY DOAN,North America,Salt-Lake-City,2002
500m women,Silver,2,Germany,GER,Monique GARBRECHT-ENFELDT,Europe,Salt-Lake-City,2002
500m women,Bronze,3,Germany,GER,Sabine VOELKER,Europe,Salt-Lake-City,2002
1500m men,Gold,1,United States of America,USA,Derek PARRA,North America,Salt-Lake-City,2002
1500m men,Silver,2,Netherlands,NED,Jochem UYTDEHAAGE,Europe,Salt-Lake-City,2002
